initial_cutloss_pct,breakeven_trigger_pct,breakeven_lock_pct,atr_multiplier,min_dollar_vol,freeze_days,trade_count,win_rate_pct,net_profit_pct,profit_factor,max_drawdown_pct
0.03,0.1,0.02,2.0,5000000.0,5,24,58.333333333333336,503.5976105711833,8.331659271383076,-12.827562380347132
0.03,0.1,0.02,2.0,5000000.0,10,22,59.09090909090909,503.3717469115287,9.195842854365834,-10.131507608605283
0.03,0.1,0.02,2.0,5000000.0,20,22,63.63636363636363,508.7862691714962,10.329442090129572,-7.352069699593068
0.03,0.1,0.02,2.0,5000000.0,30,21,61.904761904761905,472.7337533865439,10.049309581769933,-7.352069699593071
0.03,0.1,0.02,2.5,500000.0,0,26,50.0,385.3852386057014,6.164691401491052,-16.702799507100018
0.03,0.1,0.02,2.5,500000.0,5,23,56.52173913043478,407.32420616230576,7.839566912286908,-11.470718999999992
0.03,0.1,0.02,2.5,500000.0,10,21,57.14285714285714,407.13436760127036,8.592510814844703,-8.732699999999998
0.03,0.1,0.02,2.5,500000.0,20,21,61.904761904761905,411.68527727880655,9.569047036740898,-6.109680571684081
0.03,0.1,0.02,2.5,500000.0,30,20,55.00000000000001,381.3831130050832,8.890823966497312,-9.903292942951536
0.03,0.1,0.02,2.5,1000000.0,0,26,50.0,385.3852386057014,6.164691401491052,-16.702799507100018
0.03,0.1,0.02,2.5,1000000.0,5,23,56.52173913043478,407.32420616230576,7.839566912286908,-11.470718999999992
0.03,0.1,0.02,2.5,1000000.0,10,21,57.14285714285714,407.13436760127036,8.592510814844703,-8.732699999999998
0.03,0.1,0.02,2.5,1000000.0,20,21,61.904761904761905,411.68527727880655,9.569047036740898,-6.109680571684081
0.03,0.1,0.02,2.5,1000000.0,30,20,55.00000000000001,381.3831130050832,8.890823966497312,-9.903292942951536
0.03,0.1,0.02,2.5,5000000.0,0,26,50.0,385.3852386057014,6.164691401491052,-16.702799507100018
0.03,0.1,0.02,2.5,5000000.0,5,23,56.52173913043478,407.32420616230576,7.839566912286908,-11.470718999999992
0.03,0.1,0.02,2.5,5000000.0,10,21,57.14285714285714,407.13436760127036,8.592510814844703,-8.732699999999998
0.03,0.1,0.02,2.5,5000000.0,20,21,61.904761904761905,411.68527727880655,9.569047036740898,-6.109680571684081
0.03,0.1,0.02,2.5,5000000.0,30,20,55.00000000000001,381.3831130050832,8.890823966497312,-9.903292942951536
0.03,0.1,0.02,3.0,500000.0,0,24,50.0,396.84890733323056,7.265294560621126,-16.702799507100032
0.03,0.1,0.02,3.0,500000.0,5,21,57.14285714285714,419.306022201062,9.495714825150424,-11.470718999999988
0.03,0.1,0.02,3.0,500000.0,10,19,57.89473684210527,419.11170009540626,10.550454371565323,-8.732699999999992
0.03,0.1,0.02,3.0,500000.0,20,19,63.1578947368421,423.7700916590871,11.948951675290123,-5.910000000000007
0.03,0.1,0.02,3.0,500000.0,30,18,55.55555555555556,392.75226084808094,10.48585943225258,-5.910000000000007
0.03,0.1,0.02,3.0,1000000.0,0,24,50.0,396.84890733323056,7.265294560621126,-16.702799507100032
0.03,0.1,0.02,3.0,1000000.0,5,21,57.14285714285714,419.306022201062,9.495714825150424,-11.470718999999988
0.03,0.1,0.02,3.0,1000000.0,10,19,57.89473684210527,419.11170009540626,10.550454371565323,-8.732699999999992
0.03,0.1,0.02,3.0,1000000.0,20,19,63.1578947368421,423.7700916590871,11.948951675290123,-5.910000000000007
0.03,0.1,0.02,3.0,1000000.0,30,18,55.55555555555556,392.75226084808094,10.48585943225258,-5.910000000000007
0.03,0.1,0.02,3.0,5000000.0,0,24,50.0,396.84890733323056,7.265294560621126,-16.702799507100032
0.03,0.1,0.02,3.0,5000000.0,5,21,57.14285714285714,419.306022201062,9.495714825150424,-11.470718999999988
0.03,0.1,0.02,3.0,5000000.0,10,19,57.89473684210527,419.11170009540626,10.550454371565323,-8.732699999999992
0.03,0.1,0.02,3.0,5000000.0,20,19,63.1578947368421,423.7700916590871,11.948951675290123,-5.910000000000007
0.03,0.1,0.02,3.0,5000000.0,30,18,55.55555555555556,392.75226084808094,10.48585943225258,-5.910000000000007
0.05,0.06,0.01,2.0,500000.0,0,26,57.692307692307686,405.88259070339126,4.739797587965311,-26.49081093750003
0.05,0.06,0.01,2.0,500000.0,5,23,65.21739130434783,490.0365542538465,6.713581292238558,-18.549375000000015
0.05,0.06,0.01,2.0,500000.0,10,21,66.66666666666666,514.9416928127633,7.763459705674995,-14.262500000000014
0.05,0.06,0.01,2.0,500000.0,20,21,71.42857142857143,553.7801155167275,9.293679160634097,-9.750000000000007
0.05,0.06,0.01,2.0,500000.0,30,20,70.0,547.3070450660667,9.255248139155617,-9.750000000000007
0.05,0.06,0.01,2.0,1000000.0,0,26,57.692307692307686,405.88259070339126,4.739797587965311,-26.49081093750003
0.05,0.06,0.01,2.0,1000000.0,5,23,65.21739130434783,490.0365542538465,6.713581292238558,-18.549375000000015
0.05,0.06,0.01,2.0,1000000.0,10,21,66.66666666666666,514.9416928127633,7.763459705674995,-14.262500000000014
