initial_cutloss_pct,breakeven_trigger_pct,breakeven_lock_pct,atr_multiplier,min_dollar_vol,freeze_days,trade_count,win_rate_pct,sum_return_pct,profit_factor,max_drawdown_pct
0.03,0.08,0.02,1.5,500000.0,20,505,26.13861386138614,749.4353810169688,1.6305694064356842,-173.320707992675
0.03,0.08,0.02,1.5,500000.0,30,451,23.059866962305986,131.20746358473994,1.1175922176676032,-238.16990036643764
0.03,0.08,0.02,1.5,1000000.0,0,957,24.242424242424242,930.976433319059,1.4066152658523792,-183.73154146407774
0.03,0.08,0.02,1.5,1000000.0,10,624,24.519230769230766,620.3126792634336,1.411250355624241,-124.40468848744706
0.03,0.08,0.02,1.5,1000000.0,20,490,26.53061224489796,677.4721332720213,1.5906128640815567,-178.57059669806745
0.03,0.08,0.02,1.5,1000000.0,30,437,23.569794050343248,80.36717771303005,1.0748058057165697,-219.2968271985925
0.03,0.08,0.02,1.5,5000000.0,0,804,23.756218905472636,606.956337518601,1.3164512302669706,-211.49460608472873
0.03,0.08,0.02,1.5,5000000.0,10,520,23.46153846153846,510.33998193323816,1.4032843414166916,-138.87695033384125
0.03,0.08,0.02,1.5,5000000.0,20,413,26.634382566585955,622.614391618486,1.648951571709908,-160.49194514826502
0.03,0.08,0.02,1.5,5000000.0,30,365,23.835616438356162,172.2019292608055,1.1937372043465921,-198.12129420380018
0.03,0.08,0.02,2.0,500000.0,0,941,23.69819341126461,809.6623759558718,1.3511682542653283,-186.35143160844166
0.03,0.08,0.02,2.0,500000.0,10,622,23.79421221864952,547.5206439444437,1.3568617879401899,-209.8020530572195
0.03,0.08,0.02,2.0,500000.0,20,492,25.8130081300813,645.0884685697789,1.546289118048753,-257.56391855194124
0.03,0.08,0.02,2.0,500000.0,30,441,22.67573696145125,23.290158788374143,1.020911999565673,-301.18570837580626
0.03,0.08,0.02,2.0,1000000.0,0,915,24.153005464480877,791.8454669847999,1.3558897099712777,-186.73967852143608
0.03,0.08,0.02,2.0,1000000.0,10,604,24.00662251655629,494.83495253177995,1.333665214213013,-192.87059282172316
0.03,0.08,0.02,2.0,1000000.0,20,477,26.20545073375262,587.0278568332735,1.5162983963409145,-259.6263608922485
0.03,0.08,0.02,2.0,1000000.0,30,427,23.185011709601874,-16.83493743997893,0.9842643574060171,-282.31263520796097
0.03,0.08,0.02,2.0,5000000.0,0,766,23.759791122715406,642.2055305613657,1.3449527557232461,-186.05551185234077
0.03,0.08,0.02,2.0,5000000.0,10,503,23.26043737574553,355.4833084228295,1.2856480148736606,-208.78477817214656
0.03,0.08,0.02,2.0,5000000.0,20,402,26.865671641791046,574.0067873880109,1.6052726813801181,-218.6961088806646
0.03,0.08,0.02,2.0,5000000.0,30,356,23.876404494382022,126.85885816478326,1.1438784670770383,-242.382383196377
0.03,0.08,0.02,2.5,500000.0,0,904,23.893805309734514,832.9208906041971,1.3763393447011858,-264.55304428522834
0.03,0.08,0.02,2.5,500000.0,10,598,24.24749163879599,731.121045868341,1.4972180622978237,-250.35395074730877
0.03,0.08,0.02,2.5,500000.0,20,478,25.732217573221757,765.1096460544628,1.6659600562779397,-270.5581097969333
0.03,0.08,0.02,2.5,500000.0,30,428,22.897196261682243,279.5703066510716,1.2591615924032997,-304.9879721094864
0.03,0.08,0.02,2.5,1000000.0,0,878,24.373576309794988,821.8874160291971,1.3853982039729251,-235.9271865479726
0.03,0.08,0.02,2.5,1000000.0,10,580,24.482758620689655,688.673665962908,1.4852594965776247,-238.69114626012595
0.03,0.08,0.02,2.5,1000000.0,20,463,26.13390928725702,717.287345825188,1.6491169895556699,-272.62055213724057
0.03,0.08,0.02,2.5,1000000.0,30,414,23.42995169082126,249.6835219299493,1.2412664720806337,-286.1148989416413
0.03,0.08,0.02,2.5,5000000.0,0,736,24.184782608695652,581.7462289315029,1.3271146395905473,-242.32834392939185
0.03,0.08,0.02,2.5,5000000.0,10,487,23.203285420944557,293.4751974877622,1.2440264886356338,-266.57393074820806
0.03,0.08,0.02,2.5,5000000.0,20,391,26.598465473145783,540.7276715114594,1.5861704603072577,-256.8631927848467
0.03,0.08,0.02,2.5,5000000.0,30,346,23.98843930635838,199.45637176129208,1.2338732951000395,-271.3575395892474
0.03,0.08,0.02,3.0,500000.0,0,876,23.401826484018265,1405.8208261559532,1.6572869526799336,-301.2256460680394
